date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:27	97184/97184	---M--	200	added ('OK')	application/javascript	etag:%2217ba0-53379a4a6af80%22	http://localhost/dada/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-includes/js/jquery/jqueryb8ff.js	(from http://localhost/dada/)
22:28:28	2257/2257	---M--	200	added ('OK')	text/xml	date:Thu,%2012%20Jul%202018%2016:28:26%20GMT	http://localhost/dada/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fdada%2F&format=xml	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-json/oembed/1.0/embedc39e	(from http://localhost/dada/)
22:28:28	54048/54048	---MC-	200	added ('OK')	application/json	date:Thu,%2012%20Jul%202018%2016:28:22%20GMT	http://localhost/dada/wp-json/	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-json/index.html	(from http://localhost/dada/)
22:28:29	1516/1516	---M--	200	added ('OK')	image/png	etag:%225ec-570cf679eba9d%22	http://localhost/dada/wp-content/uploads/2015/12/retina-journey.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/uploads/2015/12/retina-journey.png	(from http://localhost/dada/)
22:28:29	826/826	---M--	200	added ('OK')	image/png	etag:%2233a-570cf67982943%22	http://localhost/dada/wp-content/uploads/2015/12/journey.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/uploads/2015/12/journey.png	(from http://localhost/dada/)
22:28:38	74880/74880	---MC-	200	added ('OK')	text/html	date:Thu,%2012%20Jul%202018%2016:28:29%20GMT	http://localhost/dada/destinations/	C:/My%20Web%20Sites/first%20site/localhost/dada/destinations/index.html	(from http://localhost/dada/)
22:28:39	77046/77046	---MC-	200	added ('OK')	text/html	date:Thu,%2012%20Jul%202018%2016:28:30%20GMT	http://localhost/dada/who-we-are/	C:/My%20Web%20Sites/first%20site/localhost/dada/who-we-are/index.html	(from http://localhost/dada/)
22:28:46	69295/69295	---MC-	200	added ('OK')	text/html	date:Thu,%2012%20Jul%202018%2016:28:39%20GMT	http://localhost/dada/blog/	C:/My%20Web%20Sites/first%20site/localhost/dada/blog/index.html	(from http://localhost/dada/)
22:28:46	78865/78865	---MC-	200	added ('OK')	text/html	date:Thu,%2012%20Jul%202018%2016:28:39%20GMT	http://localhost/dada/contact/	C:/My%20Web%20Sites/first%20site/localhost/dada/contact/index.html	(from http://localhost/dada/)
22:28:46	1874/1874	---M--	200	added ('OK')	image/png	etag:%22752-570cf6b21612b%22	http://localhost/dada/wp-content/uploads/2015/12/home_journey_icon1.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/uploads/2015/12/home_journey_icon1.png	(from http://localhost/dada/)
